2025-05-22 14:20:45 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-22 17:24:11 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-22 17:24:12 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-22 17:24:12 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-22 17:24:12 - [REPORT] Relatorio JSON salvo em: logs\report\relatorio_auditoria.json
2025-05-22 17:24:12 - [REPORT] Relatorio TXT salvo em: logs\report\relatorio_auditoria.txt
2025-05-22 17:24:12 - [OK] Auditoria concluida.
2025-05-22 17:25:01 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-22 17:25:01 - [OK] Auditado: configuracao_auditoria.json - Hash: 0F94CDFA...
2025-05-22 17:25:01 - [OK] Auditado: ConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-22 17:25:01 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-22 17:25:01 - [OK] Auditado: Instalador_Secretaria_Virtual.exe - Hash: AC24841C...
2025-05-22 17:25:01 - [OK] Auditado: instalador_secretaria_virtual.nsi - Hash: 34B95472...
2025-05-22 17:25:01 - [OK] Auditado: instalar.ps1 - Hash: E4D4D114...
2025-05-22 17:25:01 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-22 17:25:01 - [OK] Auditado: manifest.xml - Hash: A89F6D58...
2025-05-22 17:25:01 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 31AA5B6E...
2025-05-22 17:25:01 - [OK] Auditado: Paciente.ps1 - Hash: 031CFF7A...
2025-05-22 17:25:01 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-22 17:25:01 - [OK] Auditado: ReceitaMedica.ps1 - Hash: 248339FB...
2025-05-22 17:25:01 - [OK] Auditado: secretaria_virtual.exe - Hash: 115A3D6B...
2025-05-22 17:25:01 - [OK] Auditado: auditoria.ps1 - Hash: 3CA61206...
2025-05-22 17:25:01 - [OK] Auditado: Configuracao.ps1 - Hash: 1837D543...
2025-05-22 17:25:01 - [OK] Auditado: executar.ps1 - Hash: FD0E9ADB...
2025-05-22 17:25:01 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-22 17:25:01 - [OK] Auditado: auditoria_log.txt - Hash: 4E95B82F...
2025-05-22 17:25:01 - [OK] Auditado: relatorio_auditoria.json - Hash: 21A5E4C0...
2025-05-22 17:25:01 - [OK] Auditado: relatorio_auditoria.txt - Hash: 66694247...
2025-05-22 17:25:01 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-22 17:25:01 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-22 17:25:01 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-22 17:25:01 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-22 17:25:01 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-22 17:25:01 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-22 17:25:01 - [REPORT] Relatorio JSON salvo em: logs\report\relatorio_auditoria.json
2025-05-22 17:25:01 - [REPORT] Relatorio TXT salvo em: logs\report\relatorio_auditoria.txt
2025-05-22 17:25:01 - [OK] Auditoria concluida.
2025-05-22 17:28:54 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-22 17:28:54 - [OK] Auditado: configuracao_auditoria.json - Hash: 0F94CDFA...
2025-05-22 17:28:54 - [OK] Auditado: ConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-22 17:28:54 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-22 17:28:54 - [OK] Auditado: instalador_secretaria_virtual.nsi - Hash: 34B95472...
2025-05-22 17:28:54 - [OK] Auditado: instalar.ps1 - Hash: BD9BB4F9...
2025-05-22 17:28:54 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-22 17:28:54 - [OK] Auditado: manifest.xml - Hash: A89F6D58...
2025-05-22 17:28:54 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 31AA5B6E...
2025-05-22 17:28:54 - [OK] Auditado: Paciente.ps1 - Hash: 031CFF7A...
2025-05-22 17:28:54 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-22 17:28:54 - [OK] Auditado: ReceitaMedica.ps1 - Hash: 248339FB...
2025-05-22 17:28:54 - [OK] Auditado: secretaria_virtual.exe - Hash: 7F2DCC48...
2025-05-22 17:28:54 - [OK] Auditado: auditoria.ps1 - Hash: 3CA61206...
2025-05-22 17:28:54 - [OK] Auditado: Configuracao.ps1 - Hash: 1837D543...
2025-05-22 17:28:54 - [OK] Auditado: executar.ps1 - Hash: FD0E9ADB...
2025-05-22 17:28:54 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-22 17:28:54 - [OK] Auditado: auditoria_log.txt - Hash: E534A6EC...
2025-05-22 17:28:54 - [OK] Auditado: relatorio_auditoria.json - Hash: 1B858727...
2025-05-22 17:28:54 - [OK] Auditado: relatorio_auditoria.txt - Hash: 7589DD05...
2025-05-22 17:28:54 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-22 17:28:54 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-22 17:28:54 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-22 17:28:54 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-22 17:28:54 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-22 17:28:54 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-22 17:28:54 - [REPORT] Relatorio JSON salvo em: logs\report\relatorio_auditoria.json
2025-05-22 17:28:54 - [REPORT] Relatorio TXT salvo em: logs\report\relatorio_auditoria.txt
2025-05-22 17:28:54 - [OK] Auditoria concluida.
2025-05-22 21:05:08 - [BUSCA] Iniciando auditoria em: C:\Users\felip\secretaria-virtual
2025-05-22 21:05:09 - [OK] Auditado: configuracao_auditoria.json - Hash: 0F94CDFA...
2025-05-22 21:05:09 - [OK] Auditado: ConsultaMedica.ps1 - Hash: 7193B9EC...
2025-05-22 21:05:09 - [OK] Auditado: icone.ico - Hash: 5B55AA29...
2025-05-22 21:05:09 - [OK] Auditado: Instalador_Secretaria_Virtual.exe - Hash: EA85B420...
2025-05-22 21:05:09 - [OK] Auditado: instalador_secretaria_virtual.nsi - Hash: 9AB709F4...
2025-05-22 21:05:09 - [OK] Auditado: instalar.ps1 - Hash: BD9BB4F9...
2025-05-22 21:05:09 - [OK] Auditado: LICENSE.txt - Hash: 4BB299DF...
2025-05-22 21:05:09 - [OK] Auditado: manifest.xml - Hash: A89F6D58...
2025-05-22 21:05:09 - [OK] Auditado: MenuPrincipal.ps1 - Hash: 31AA5B6E...
2025-05-22 21:05:09 - [OK] Auditado: Paciente.ps1 - Hash: 7D11AA9C...
2025-05-22 21:05:09 - [OK] Auditado: README.md - Hash: 512624FB...
2025-05-22 21:05:09 - [OK] Auditado: ReceitaMedica.ps1 - Hash: 248339FB...
2025-05-22 21:05:09 - [OK] Auditado: secretaria_virtual.exe - Hash: D1809CE9...
2025-05-22 21:05:09 - [OK] Auditado: auditoria.ps1 - Hash: 3CA61206...
2025-05-22 21:05:09 - [OK] Auditado: Configuracao.ps1 - Hash: 1837D543...
2025-05-22 21:05:09 - [OK] Auditado: executar.ps1 - Hash: FD0E9ADB...
2025-05-22 21:05:09 - [OK] Auditado: homologar.ps1 - Hash: 70ACE9E4...
2025-05-22 21:05:09 - [OK] Auditado: auditoria_log.txt - Hash: 107892DA...
2025-05-22 21:05:09 - [OK] Auditado: relatorio_auditoria.json - Hash: F7D81ACA...
2025-05-22 21:05:09 - [OK] Auditado: relatorio_auditoria.txt - Hash: 966ACF5E...
2025-05-22 21:05:09 - [OK] Auditado: appointments.json - Hash: E9A58D55...
2025-05-22 21:05:09 - [OK] Auditado: doctors.json - Hash: 071AA403...
2025-05-22 21:05:09 - [OK] Auditado: pacientes.json - Hash: A59C606E...
2025-05-22 21:05:09 - [OK] Auditado: prescriptions.json - Hash: DE1540B6...
2025-05-22 21:05:09 - [OK] Auditado: visits.json - Hash: 7822614B...
2025-05-22 21:05:09 - [OK] Auditado: Receita_1.html - Hash: B7C9D8CB...
2025-05-22 21:05:09 - [REPORT] Relatorio JSON salvo em: logs\report\relatorio_auditoria.json
2025-05-22 21:05:09 - [REPORT] Relatorio TXT salvo em: logs\report\relatorio_auditoria.txt
2025-05-22 21:05:09 - [OK] Auditoria concluida.
